Menu_Product,Sold_Count,Account,Cash,Check,Credit_Card,Charge,Total
Bfst Entree,27,33.75,0,0,0,0,33.75
Extra Milk,1040,513.95,0.5,0,0,5.55,520
Large Drink,2973,4459.5,0,0,0,0,4459.5
PopTart,16,20,0,0,0,0,20
Small Drink,75,93.75,0,0,0,0,93.75
Snacks,11977,8982.75,0,0,0,0,8982.75
Yogurt Parfait,6,12,0,0,0,0,12
Cheese Stick,1,0.5,0,0,0,0,0.5
Chips/Snacks,2,0.5,0,0,0,0,0.5
Cookies,424,424,0,0,0,0,424
Desserts,8,4,0,0,0,0,4
Dinner Roll,82,41,0,0,0,0,41
Domino's Pizza,1,1.75,0,0,0,0,1.75
Extra Cup,1,0.5,0,0,0,0,0.5
Extra Juice,32,16,0,0,0,0,16
Fresh Fruit,17,12.75,0,0,0,0,12.75
Fruit Cup,11,22,0,0,0,0,22
Lunch Entree,7325,12815.25,0,0,0,3.5,12818.75
Veggie Cup,77,57.75,0,0,0,0,57.75

